Firm Name,CRD Number,AUM (Millions),City,State,Website
"SQN CAPITAL MANAGEMENT, LLC",158704,75.4,NEW YORK,NY,https://www.sqncapital.com
"NORTHSTAR CAPITAL FUNDS, LLC",138526,71.83,NEW YORK,NY,http://www.northstarcapitalfunds.com
E. MAGNUS OPPENHEIM & CO. INC.,14268,70.38,NEW YORK,NY,http://www.emagnus.com
"CATHAY CAPITAL NA, LLC",268816,68.5,NEW YORK,NY,https://www.cathaycapital.com/
VAZIRANI ASSET MANAGEMENT LLC,289186,65.0,NEW YORK,NY,https://www.vaziranifund.com
BEATRICE ADVISORS LP,332668,64.62,NEW YORK,NY,"https://www.linkedin.com/company/beatrice-advisors/, https://www.beatriceadvisors.com/"
GOLDIRON GP LLC,285239,60.16,NEW YORK,NY,N/A
"MILLENNIAL ADVISERS, LLC.",170847,58.66,NEW YORK,NY,"https://www.linkedin.com/company/millennial-advisers-llc, http://www.ouradvisers.com/, https://www.facebook.com/ouradvisersnyc/, https://twitter.com/ouradvisersnyc"
TRUCK CAPITAL MANAGEMENT LLC,164329,58.27,NEW YORK,NY,"https://www.linkedin.com/company/truck-capital-management-llc, http://www.truck-capital.com"
SPP CREDIT ADVISORS II LLC,323725,57.84,NEW YORK,NY,https://www.sppcreditpartners.com
"DAVERN CAPITAL PARTNERS, LP",323018,57.52,NEW YORK,NY,"https://daverncapital.com/, https://www.linkedin.com/company/davern-capital-partners/"
PRINCETON VALUE PARTNERS LLC,313153,57.44,NEW YORK,NY,http://www.princetonvp.com
KB & PARTNERS MANAGEMENT CO LLC,108105,57.18,NEW YORK,NY,http://www.kahnbrothers.com
"ARC24 MANAGEMENT, LP",331983,56.89,NEW YORK,NY,https://arc24cap.com/
ARKHOUSE MANAGEMENT CO. LP,325180,53.09,NEW YORK,NY,"https://arkhousefund.com/, https://www.linkedin.com/company/arkhouse, https://x.com/arkhouse_"
"SIDUS INVESTMENT MANAGEMENT, LLC",160406,52.22,NEW YORK,NY,"http://sidusfunds.com/, https://www.linkedin.com/company/sidus-investment-management/"
"ACE & COMPANY NEW YORK, INC.",304442,52.03,NEW YORK,NY,https://aceandcompany.com/
FOXPATH CAPITAL PARTNERS LP,331708,50.0,NEW YORK,NY,"https://foxpath.com/, https://www.linkedin.com/company/foxpath"
"ONE68 GLOBAL CAPITAL, LLC",284585,50.0,NEW YORK,NY,"https://www.linkedin.com/company/one68-global-capital/about/, https://www.one68global.com"
"OPPENHEIMER ALTERNATIVE INVESTMENT MANAGEMENT, LLC",140485,49.04,NEW YORK,NY,N/A
ENDICOTT MANAGEMENT COMPANY,157119,48.74,NEW YORK,NY,"https://linkedin.com/company/the-endicott-group, https://endicottgp.com"
"OUTERLANDS CAPITAL MANAGEMENT, LLC",327602,48.56,NEW YORK,NY,"https://twitter.com/outerlandscap, https://www.linkedin.com/company/outerlands-capital/, https://www.outerlands.io/"
"HILBERT 8, LLC",284577,47.19,NEW YORK,NY,"https://www.linkedin.com/company/hilbert8/, https://www.hilbert8.com"
GROUP RMC INVESTMENT ADVISOR LLC,318504,46.7,NEW YORK,NY,http://www.grouprmc.com
"CBF ADVISORS, LLC",134079,46.63,NEW YORK,NY,http://www.clearbrookglobal.com
SZOP MULTISTRAT MANAGEMENT LLC,317689,44.05,NEW YORK,NY,N/A
ACME CREDIT PARTNERS LLC,328087,43.81,NEW YORK,NY,"https://www.linkedin.com/company/acme-credit-partners/, https://www.acmecreditpartners.com/"
MARLOWE PARTNERS LP,170091,43.4,NEW YORK,NY,"http://www.marlowepartners.com, https://www.marlowepartners.com"
"DAVIS CAPITAL ADVISORS, LLC",153496,41.78,NEW YORK,NY,http://www.daviscapitaladvisors.com
ATLA CAPITAL MANAGEMENT LLC,312501,41.67,NEW YORK,NY,"http://www.atlacap.com, https://www.linkedin.com/company/74891263"
ASA ASSET MANAGEMENT LLC,335177,41.66,NEW YORK,NY,N/A
TELSEY CONSUMER FUND MANAGEMENT LP,312514,41.5,NEW YORK,NY,N/A
"MSRESS III MANAGER, L.L.C.",138602,40.68,NEW YORK,NY,http://www.morganstanley.com/im/en-us/institutional-investor/strategies/real-assets/private-real-estate.html
"PALLADIUM HERITAGE MANAGEMENT, LLC",321623,39.53,NEW YORK,NY,http://www.palladiumequity.com
GRIZZLY CAPITAL MANAGEMENT LP,324228,38.56,NEW YORK,NY,"https://x.com/researchgrizzly, https://www.linkedin.com/company/grizzly-research-llc, https://stocktwits.com/grizzly_research, https://investorshub.advfn.com/boards/profilea.aspx?user=853714, https://grizzlyreports.com/"
ARDINALL INVESTMENT MANAGEMENT LP,298114,36.16,NEW YORK,NY,"https://www.ardinall.com/, https://www.linkedin.com/company/ardinall-investment-management/, https://www.bloomberg.com/profile/company/1648200d:us"
"CANNON HILL INVESTMENT MANAGEMENT, LLC",166750,36.05,NEW YORK,NY,"https://www.cannonhillcap.com/, https://www.linkedin.com/company/cannon-hill-capital-partners-llc/mycompany/?viewasmember=true"
SPP CREDIT ADVISORS LLC,314442,34.47,NEW YORK,NY,https://www.sppcreditpartners.com
"ELKWATER CAPITAL MANAGEMENT, LLC",333963,32.9,NEW YORK,NY,"https://www.elkwatercapital.com/, https://www.linkedin.com/company/elkwater-capital-management-llc/"
OLD BELLOWS PARTNERS L.P.,157569,31.9,NEW YORK,NY,N/A
QUARTUS INVESTMENT ADVISORS LLC,287597,31.21,NEW YORK,NY,N/A
"STOCKWELL VENTURES, LLC",323092,30.0,NEW YORK,NY,N/A
GILEAD CAPITAL LP,282023,28.41,NEW YORK,NY,"https://www.linkedin.com/company/gilead-capital-lp/about/, https://www.gileadcapital.com"
"AXEL CAPITAL MANAGEMENT, LLC",151246,26.51,NEW YORK,NY,http://www.axelcapital.com
ARTESIAN CAPITAL MANAGEMENT (DELAWARE) LP,325768,26.0,NEW YORK,NY,"https://www.linkedin.com/company/artesian-capital-management/, https://www.artesianinvest.com/, https://twitter.com/artesianvc"
"DJA CAPITAL MANAGEMENT, LP",332825,25.92,NEW YORK,NY,N/A
5C INVESTMENT PARTNERS ADVISOR LLC,330565,24.99,NEW YORK,NY,"https://www.5cinvest.com/, https://www.linkedin.com/company/5c-investment-partners/"
"M.D. SASS-MACQUARIE FINANCIAL STRATEGIES MANAGEMENT COMPANY, LLC",124506,18.02,NEW YORK,NY,"http://www.mdsass.com, https://www.linkedin.com/company/md-sass/"
KAHN BROTHERS ASSET MANAGEMENT CORP,105620,15.83,NEW YORK,NY,http://www.kahnbrothers.com
"KRANE CAPITAL MANAGEMENT, LLC",329110,15.41,NEW YORK,NY,https://kranecapitalmanagement.com/
